id,tweet,label,length,text_short,length_short,model_output,prob_offensive
86426,@USER She should ask a few native Americans what their take on this is.,UNT,18,@USER She should ask a few native Americans what their take on this is.,18,"tensor([[ 0.8357, -0.7801]])",not-offensive
90194,@USER @USER Go home you’re drunk!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL,TIN,33,@USER @USER Go home you’re drunk!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL,33,"tensor([[-0.7806,  0.7763]])",offensive
16820,Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. URL #Amazon #MAGA #KAG #CHINA #TCOT,NOT,41,Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. URL #Amazon #MAGA #KAG #CHINA #TCOT,41,"tensor([[ 1.1633, -1.1933]])",not-offensive
62688,"@USER Someone should'veTaken"" this piece of shit to a volcano. 😂""",UNT,21,"@USER Someone should'veTaken"" this piece of shit to a volcano. 😂""",21,"tensor([[-1.0799,  0.9348]])",offensive
43605,@USER @USER Obama wanted liberals &amp; illegals to move into red states,NOT,19,@USER @USER Obama wanted liberals &amp; illegals to move into red states,19,"tensor([[ 0.1146, -0.1147]])",not-offensive
97670,@USER Liberals are all Kookoo !!!,TIN,12,@USER Liberals are all Kookoo!!!,11,"tensor([[-0.0672,  0.1005]])",offensive
77444,@USER @USER Oh noes! Tough shit.,UNT,13,@USER @USER Oh noes! Tough shit.,13,"tensor([[-1.1156,  1.0462]])",offensive
52415,@USER was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism,TIN,38,@USER was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism,38,"tensor([[-0.1530,  0.0875]])",offensive
45157,@USER Buy more icecream!!!,NOT,9,@USER Buy more icecream!!!,9,"tensor([[ 1.2298, -1.1834]])",not-offensive
13384,@USER Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo,TIN,42,@USER Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo,42,"tensor([[-0.6622,  0.5730]])",offensive
82776,@USER @USER @USER It’s not my fault you support gun control,NOT,19,@USER @USER @USER It’s not my fault you support gun control,19,"tensor([[ 0.1883, -0.3100]])",not-offensive
42992,@USER What’s the difference between #Kavanaugh and @USER   One of these men admitted to groping a 15 year old girl years ago.  The other is going to be #confirmed to the SCJ   #DemsareFrauds #DemsAreDone   #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica #trumptrain #MAGA URL,NOT,87,@USER What’s the difference between #Kavanaugh and @USER   One of these men admitted to groping a 15 year old girl years ago.  The other is going to be #confirmed to the SCJ   #DemsareFrauds #DemsAreDone   #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica #trumptrain #MAGA URL,87,"tensor([[ 0.1563, -0.0863]])",not-offensive
28414,@USER you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL,TIN,26,@USER you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL,26,"tensor([[-1.2119,  1.2168]])",offensive
54920,@USER @USER @USER It should scare every American!  She is playing Hockey with a warped puck!,NOT,24,@USER @USER @USER It should scare every American!  She is playing Hockey with a warped puck!,24,"tensor([[ 6.9766e-02, -1.0004e-05]])",not-offensive
56392,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I like my soda like I like my boarders with a lot of ICE.,NOT,118,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER,100,"tensor([[ 1.2773, -1.2322]])",not-offensive
86735,@USER you are also the king of taste,NOT,11,@USER you are also the king of taste,11,"tensor([[ 1.4647, -1.4290]])",not-offensive
95686,#MAGA @USER  🎶 Sing like no one is listening  ♥️ Love like you've never been hurt  ✔️ Vote GOP when no one is watching  🙉  And don't listen to Liberals' dirt URL,NOT,52,#MAGA @USER  🎶 Sing like no one is listening  ♥️ Love like you've never been hurt  ✔️ Vote GOP when no one is watching  🙉  And don't listen to Liberals' dirt URL,52,"tensor([[ 0.1666, -0.1925]])",not-offensive
